"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]","Average wind direction [°]","Maximum gust speed [m/s]","Average air pressure [hPa]"
"Helsinki Kumpula","2026","2","9","20:00","-5.9","80","2.8","3.5","304","5.5","1011.7"
"Helsinki Kumpula","2026","2","9","21:00","-6","80","3","3.5","302","5.2","1011.6"
"Helsinki Kumpula","2026","2","9","22:00","-6.2","82","3","3.9","291","6.2","1011.4"
"Helsinki Kumpula","2026","2","9","23:00","-6.2","85","3.3","4.1","276","7","1011.2"
"Helsinki Kumpula","2026","2","10","00:00","-6.2","85","3.5","4","265","5.7","1010.8"
"Helsinki Kumpula","2026","2","10","01:00","-6.3","88","3.3","4.1","245","5.6","1010.4"
"Helsinki Kumpula","2026","2","10","02:00","-6.5","89","3.7","4.2","233","6.4","1010"
"Helsinki Kumpula","2026","2","10","03:00","-6.6","91","2.8","4","248","5.2","1009.7"
"Helsinki Kumpula","2026","2","10","04:00","-6.6","93","2.8","3.4","262","5.2","1009.3"
"Helsinki Kumpula","2026","2","10","05:00","-6.6","94","3.4","4.1","274","5.7","1008.8"
"Helsinki Kumpula","2026","2","10","06:00","-6.6","94","2.8","3.3","283","5.1","1008.4"
"Helsinki Kumpula","2026","2","10","07:00","-6.6","95","2.4","2.8","283","3.9","1008"
"Helsinki Kumpula","2026","2","10","08:00","-6.4","93","2","2.7","286","3.2","1007.6"
"Helsinki Kumpula","2026","2","10","09:00","-6.3","91","1","2.2","305","2.7","1007.3"
"Helsinki Kumpula","2026","2","10","10:00","-5.7","89","0.4","0.6","149","1.3","1007"
"Helsinki Kumpula","2026","2","10","11:00","-5.2","87","0.9","1.5","148","2.1","1006.8"
"Helsinki Kumpula","2026","2","10","12:00","-4.8","85","1.6","2.2","170","3.1","1006.4"
"Helsinki Kumpula","2026","2","10","13:00","-4.7","82","2.1","2.4","233","4","1005.9"
"Helsinki Kumpula","2026","2","10","14:00","-4.4","79","1.5","2.3","233","3.2","1005.4"
"Helsinki Kumpula","2026","2","10","15:00","-4.1","77","0.8","1.1","216","2.1","1004.8"
"Helsinki Kumpula","2026","2","10","16:00","-4.4","78","0.8","1.4","210","2.3","1004.2"
"Helsinki Kumpula","2026","2","10","17:00","-4.5","79","1","1.5","146","2","1003.6"
"Helsinki Kumpula","2026","2","10","18:00","-4.6","81","1.6","1.7","120","2.4","1003.1"
"Helsinki Kumpula","2026","2","10","19:00","-4.5","84","1.5","2","105","2.8","1002.7"
"Helsinki Kumpula","2026","2","10","20:00","-4.2","90","2.2","3.5","190","5.5","1002.2"
"Helsinki Kumpula","2026","2","10","21:00","-3.9","91","3.6","4.2","185","6.4","1001.7"
"Helsinki Kumpula","2026","2","10","22:00","-4","92","3.9","4.4","206","7.6","1001.1"
"Helsinki Kumpula","2026","2","10","23:00","-4","95","3.1","4.2","211","5.8","1000.7"
"Helsinki Kumpula","2026","2","11","00:00","-3.9","95","3.4","4.3","214","6.2","1000.1"
"Helsinki Kumpula","2026","2","11","01:00","-3.8","96","3.6","4.2","213","6","999.7"
"Helsinki Kumpula","2026","2","11","02:00","-3.8","96","2.9","4.2","214","5.5","999.2"
"Helsinki Kumpula","2026","2","11","03:00","-3.8","96","2.5","3","218","4.7","998.7"
"Helsinki Kumpula","2026","2","11","04:00","-3.9","97","2.7","2.9","239","5","998.2"
"Helsinki Kumpula","2026","2","11","05:00","-4","97","2.6","3.9","231","4.9","997.7"
"Helsinki Kumpula","2026","2","11","06:00","-4","97","2.5","2.8","235","4.7","997.3"
"Helsinki Kumpula","2026","2","11","07:00","-4.1","96","2.6","2.9","225","4.2","996.9"
"Helsinki Kumpula","2026","2","11","08:00","-4.1","95","3","3.5","204","5.2","996.5"
"Helsinki Kumpula","2026","2","11","09:00","-4","95","3.2","3.7","192","5.2","996.2"
"Helsinki Kumpula","2026","2","11","10:00","-3.7","95","3.1","3.7","197","6","996.1"
"Helsinki Kumpula","2026","2","11","11:00","-3.8","94","4.2","4.8","223","6.8","996"
"Helsinki Kumpula","2026","2","11","12:00","-3.9","93","4.7","5.5","223","7.6","995.9"
"Helsinki Kumpula","2026","2","11","13:00","-3.7","93","4.7","5.5","227","8.1","995.6"
"Helsinki Kumpula","2026","2","11","14:00","-3.9","92","4.6","5.3","226","7.3","995.3"
"Helsinki Kumpula","2026","2","11","15:00","-3.9","92","3.9","4.3","219","8","995"
"Helsinki Kumpula","2026","2","11","16:00","-4.1","93","5.2","5.8","227","8","994.8"
"Helsinki Kumpula","2026","2","11","17:00","-4.2","93","4.2","5.2","225","7.3","994.7"
"Helsinki Kumpula","2026","2","11","18:00","-4.3","93","4","4.5","225","6.5","994.5"
"Helsinki Kumpula","2026","2","11","19:00","-4.4","94","3.8","4.1","220","5.8","994.5"
"Helsinki Kumpula","2026","2","11","20:00","-4.4","94","2.7","4","214","5.7","994.4"
"Helsinki Kumpula","2026","2","11","21:00","-4.6","94","3.5","4","195","6.2","994.2"
"Helsinki Kumpula","2026","2","11","22:00","-4.8","93","3.5","4.1","217","6.5","994.1"
"Helsinki Kumpula","2026","2","11","23:00","-5.1","93","2.3","2.9","222","4.8","994"
